Commodity Year,Commodity Name,Delivery Type Code,Delivery Type Name,Insurance Plan Abbrv,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),EFA Prem Discount ($),Addnl Subsidy ($),State Subsidy ($),Earn Prem Rate,Loss Ratio
2017,Dry Beans,RBUP,Reinsured Buyup,YP,5830,811,182,2158,323,176815,Acres,0,75606155,8941512,5419761,2569315,0,0,0,0.118264,0.287346
2017,Dry Beans,RCAT,Reinsured Catastrophic,APH,621,116,13,170,15,29422,Acres,0,6490654,131126,131126,63991,0,0,0,0.020202,0.488011
2017,Dry Beans,RCAT,Reinsured Catastrophic,YP,276,57,1,69,1,15239,Acres,0,2487448,64219,64082,9641,0,0,0,0.025817,0.150126
2017,Dry Peas,RBUP,Reinsured Buyup,APH,3306,428,130,805,198,88894,Acres,0,12920181,2287472,1470175,2427444,0,0,0,0.177046,1.06119
2017,Dry Peas,RBUP,Reinsured Buyup,RP,9872,3397,1886,8622,4240,1396342,Acres,0,285833157,53435818,32745647,64707105,0,0,0,0.186947,1.210931
2017,Dry Peas,RBUP,Reinsured Buyup,RPHPE,31,28,14,60,25,7888,Acres,0,1743936,152128,67622,182116,0,0,0,0.087232,1.197123
2017,Dry Peas,RBUP,Reinsured Buyup,SCOR,44,29,0,109,0,0,Acres,19251,632791,300701,195484,0,0,0,0,0.475197,0
2017,Dry Peas,RBUP,Reinsured Buyup,YP,9165,2726,1600,6845,3910,991008,Acres,0,171111775,29334024,18084956,52874283,0,0,0,0.171431,1.802489
2017,Dry Peas,RCAT,Reinsured Catastrophic,APH,114,14,4,15,4,11772,Acres,0,1032100,50636,50636,53491,0,0,0,0.049061,1.056382
2017,Dry Peas,RCAT,Reinsured Catastrophic,YP,481,218,79,325,109,104605,Acres,0,8135777,330617,330617,1167533,0,0,0,0.040637,3.531376
2017,Early & Midseason Oranges,RBUP,Reinsured Buyup,APH,81,75,19,131,29,1004,Acres,0,1425416,86687,54855,139319,0,0,0,0.060815,1.607149
2017,Early & Midseason Oranges,RCAT,Reinsured Catastrophic,APH,49,44,2,44,2,2870,Acres,0,2324980,60834,60834,3403,0,0,0,0.026165,0.055939
2017,Fed Cattle,RBUP,Reinsured Buyup,LRP,697,126,17,221,19,16667,Head,0,23053083,992552,128945,72971,0,0,0,0.043055,0.073518
2017,Feeder Cattle,RBUP,Reinsured Buyup,LRP,6218,1252,297,2559,449,181713,Head,0,173356546,7852989,1005741,1790665,0,0,0,0.045299,0.228023
2017,Figs,RBUP,Reinsured Buyup,APH,18,18,1,68,1,4204,Acres,0,7886372,251523,151586,51991,0,0,0,0.031893,0.206704
2017,Figs,RCAT,Reinsured Catastrophic,APH,2,2,0,2,0,359,Acres,0,333342,2854,2854,0,0,0,0,0.008561,0
2017,Fire Cured Tobacco,RBUP,Reinsured Buyup,APH,972,640,86,1400,117,14202,Acres,0,84456337,5002574,2812590,3526821,0,0,0,0.059232,0.705001
2017,Fire Cured Tobacco,RCAT,Reinsured Catastrophic,APH,50,35,0,75,0,1194,Acres,0,2655443,52136,52136,0,0,0,0,0.019633,0
2017,Flax,RBUP,Reinsured Buyup,APH,16457,1252,721,2617,1406,254112,Acres,0,31450119,4692403,2781355,7538486,0,0,0,0.149201,1.606529
2017,Flax,RBUP,Reinsured Buyup,SCOY,15,2,0,5,0,0,Acres,1032,22957,2243,1457,0,0,0,0,0.097704,0
2017,Flax,RCAT,Reinsured Catastrophic,APH,388,36,12,38,12,7154,Acres,0,327100,26086,26086,78960,0,0,0,0.079749,3.02691
2017,Flue Cured Tobacco,RBUP,Reinsured Buyup,APH,5277,2463,1113,10484,2854,203905,Acres,0,627190837,61349635,35064766,79704888,0,0,0,0.097816,1.29919
2017,Flue Cured Tobacco,RBUP,Reinsured Buyup,SCOY,204,167,0,938,0,0,Acres,11983,7258300,304218,198036,0,0,0,0,0.041913,0
2017,Flue Cured Tobacco,RCAT,Reinsured Catastrophic,APH,64,21,0,56,0,1826,Acres,0,2349127,69424,69424,0,0,0,0,0.029553,0
2017,Forage Production,RBUP,Reinsured Buyup,APH,6579,4287,2208,10752,5318,917856,Acres,0,124300203,18692207,11502282,28849992,0,0,0,0.150379,1.543423
2017,Forage Production,RBUP,Reinsured Buyup,AYP,1620,1067,0,1320,0,96916,Acres,0,37678238,899226,479874,0,0,0,0,0.023865,0
2017,Forage Production,RBUP,Reinsured Buyup,SCOY,28,8,0,14,0,0,Acres,1853,542730,10144,6597,0,0,0,0,0.01869,0
2017,Forage Production,RCAT,Reinsured Catastrophic,APH,4458,3305,1422,3721,1548,1177653,Acres,0,110450764,6116300,6113879,14841209,0,0,0,0.055375,2.426501
2017,Forage Production,RCAT,Reinsured Catastrophic,AYP,220,127,0,145,0,30370,Acres,0,4501403,67659,67659,0,0,0,0,0.01503,0
