Commodity Year,Commodity Name,Insurance Plan,State Abbrv,County Code,County Name,Cov. Level Percent,Policies Sold,Policies Earning Prem,Policies Indemnified,Units Earning Prem,Units Indemnified,Quantity,Quantity Type,Companion/Endorsed Acres,Liabilities ($),Total Prem ($),Subsidy ($),Indemnity ($),EFA Prem Discount ($),Addnl Subsidy ($),State Subsidy ($),Earn Prem Rate,Loss Ratio
2007,All Other Commodities,Rainfall Index,TX,265,Kerr,0.8500,2,2,2,11,3,7371,Acres,0,71027,12161,7175,4249,0,0,0,0.171216,0.349395
2007,All Other Commodities,Rainfall Index,TX,265,Kerr,0.9000,8,8,7,39,11,17938,Acres,0,198779,40091,22050,28631,0,0,0,0.201686,0.71415
2007,All Other Commodities,Rainfall Index,TX,299,Llano,0.7500,11,11,9,76,24,39653,Acres,0,394233,53933,34519,51485,0,0,0,0.136804,0.95461
2007,All Other Commodities,Rainfall Index,TX,299,Llano,0.8000,1,1,1,6,2,234,Acres,0,2314,396,233,528,0,0,0,0.171132,1.333333
2007,All Other Commodities,Rainfall Index,TX,299,Llano,0.8500,4,4,4,12,4,9949,Acres,0,104322,15530,9162,8203,0,0,0,0.148866,0.528203
2007,All Other Commodities,Rainfall Index,TX,299,Llano,0.9000,13,13,13,117,38,18670,Acres,0,207827,42110,23162,44923,0,0,0,0.20262,1.066801
2007,All Other Commodities,Rainfall Index,TX,301,Loving,0.7500,6,6,6,60,22,225330,Acres,0,1678686,423476,271028,283619,0,0,0,0.252266,0.66974
2007,All Other Commodities,Rainfall Index,TX,301,Loving,0.8500,1,1,0,3,0,13720,Acres,0,77244,17898,10559,0,0,0,0,0.231707,0
2007,All Other Commodities,Rainfall Index,TX,323,Maverick,0.7000,1,1,1,6,2,17346,Acres,0,176215,36918,23628,53423,0,0,0,0.209505,1.447071
2007,All Other Commodities,Rainfall Index,TX,323,Maverick,0.7500,4,4,4,42,15,65828,Acres,0,716846,147640,94493,192343,0,0,0,0.205957,1.302783
2007,All Other Commodities,Rainfall Index,TX,323,Maverick,0.8500,1,1,1,4,1,19732,Acres,0,243492,56853,33543,85709,0,0,0,0.23349,1.507554
2007,All Other Commodities,Rainfall Index,TX,323,Maverick,0.9000,6,6,5,27,9,82232,Acres,0,1069116,253604,139483,205117,0,0,0,0.237209,0.808808
2007,All Other Commodities,Rainfall Index,TX,363,Palo Pinto,0.7000,3,3,1,8,1,540,Acres,0,20906,2841,1818,136,0,0,0,0.135894,0.04787
2007,All Other Commodities,Rainfall Index,TX,363,Palo Pinto,0.7500,6,6,3,34,8,6035,Acres,0,131408,19061,12199,9855,0,0,0,0.145052,0.517024
2007,All Other Commodities,Rainfall Index,TX,363,Palo Pinto,0.8000,1,1,1,2,1,30,Acres,0,4038,754,446,452,0,0,0,0.186726,0.599469
2007,All Other Commodities,Rainfall Index,TX,363,Palo Pinto,0.8500,2,2,2,18,6,240,Acres,0,15844,2785,1700,1826,0,0,0,0.175776,0.655655
2007,All Other Commodities,Rainfall Index,TX,363,Palo Pinto,0.9000,11,11,10,76,24,22581,Acres,0,553853,108397,59619,52757,0,0,0,0.195714,0.486701
2007,All Other Commodities,Rainfall Index,TX,385,Real,0.7500,1,1,1,6,2,4032,Acres,0,37244,6591,4217,7692,0,0,0,0.176968,1.167045
2007,All Other Commodities,Rainfall Index,TX,385,Real,0.8000,1,1,1,2,1,1938,Acres,0,12732,2827,1668,5004,0,0,0,0.222038,1.770074
2007,All Other Commodities,Rainfall Index,TX,385,Real,0.8500,1,1,1,3,1,3136,Acres,0,32834,6455,3808,5247,0,0,0,0.196594,0.812858
2007,All Other Commodities,Rainfall Index,TX,385,Real,0.9000,7,7,7,29,10,16667,Acres,0,177277,38012,20909,38491,0,0,0,0.214421,1.012601
2007,All Other Commodities,Rainfall Index,TX,425,Somervell,0.7000,2,2,0,7,0,168,Acres,0,11803,1332,852,0,0,0,0,0.112852,0
2007,All Other Commodities,Rainfall Index,TX,425,Somervell,0.7500,1,1,1,12,2,1500,Acres,0,38394,5825,3729,1273,0,0,0,0.151716,0.21854
2007,All Other Commodities,Rainfall Index,TX,425,Somervell,0.8000,1,1,1,3,1,30,Acres,0,4038,765,452,335,0,0,0,0.18945,0.437908
2007,All Other Commodities,Rainfall Index,TX,425,Somervell,0.9000,3,3,2,33,7,1670,Acres,0,27547,5286,2956,1810,0,0,0,0.19189,0.342413
2007,All Other Commodities,Rainfall Index,TX,475,Ward,0.7500,2,2,2,12,4,74593,Acres,0,555719,134489,86074,83516,0,0,0,0.242009,0.620987
